uri,code,title,class_kind,semantic_level,depth,parent_uri,parent_code,parent_title,child_count,is_leaf,is_three_character_code,is_terminal_code,browser_url
http://id.who.int/icd/release/10/2019/A92.2,A92.2,Venezuelan equine fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A92,A92,Other mosquito-borne viral fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A92.2
http://id.who.int/icd/release/10/2019/A92.3,A92.3,West Nile virus infection,category,final_code,4,http://id.who.int/icd/release/10/2019/A92,A92,Other mosquito-borne viral fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A92.3
http://id.who.int/icd/release/10/2019/A92.4,A92.4,Rift Valley fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A92,A92,Other mosquito-borne viral fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A92.4
http://id.who.int/icd/release/10/2019/A92.5,A92.5,Zika virus disease,category,final_code,4,http://id.who.int/icd/release/10/2019/A92,A92,Other mosquito-borne viral fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A92.5
http://id.who.int/icd/release/10/2019/A92.8,A92.8,Other specified mosquito-borne viral fevers,category,final_code,4,http://id.who.int/icd/release/10/2019/A92,A92,Other mosquito-borne viral fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A92.8
http://id.who.int/icd/release/10/2019/A92.9,A92.9,"Mosquito-borne viral fever, unspecified",category,final_code,4,http://id.who.int/icd/release/10/2019/A92,A92,Other mosquito-borne viral fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A92.9
http://id.who.int/icd/release/10/2019/A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,4,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A93
http://id.who.int/icd/release/10/2019/A93.0,A93.0,Oropouche virus disease,category,final_code,4,http://id.who.int/icd/release/10/2019/A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A93.0
http://id.who.int/icd/release/10/2019/A93.1,A93.1,Sandfly fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A93.1
http://id.who.int/icd/release/10/2019/A93.2,A93.2,Colorado tick fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A93.2
http://id.who.int/icd/release/10/2019/A93.8,A93.8,Other specified arthropod-borne viral fevers,category,final_code,4,http://id.who.int/icd/release/10/2019/A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A93.8
http://id.who.int/icd/release/10/2019/A94,A94,Unspecified arthropod-borne viral fever,category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,0,true,true,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A94
