code,title,node_type,semantic_level,parent_code,chapter_code,chapter_title,block_code,block_title,three_character_code,three_character_title,has_children,is_leaf,is_three_character_code,is_detailed_code,is_coding_selectable,sex_selectable,age_group_selectable,policy_status,restriction_note
A06.0,Acute amoebic dysentery,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.1,Chronic intestinal amoebiasis,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.2,Amoebic nondysenteric colitis,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.3,Amoeboma of intestine,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.4,Amoebic liver abscessK77.0,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.5,Amoebic lung abscess,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.6,Amoebic brain abscessG07,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.7,Cutaneous amoebiasis,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.8,Amoebic infection of other sites,category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A06.9,"Amoebiasis, unspecified",category,detailed_code,A06,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,false,true,false,true,,,,unreviewed,
A07,Other protozoal intestinal diseases,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,true,false,true,false,,,,unreviewed,
A07.0,Balantidiasis,category,detailed_code,A07,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,false,true,false,true,,,,unreviewed,
A07.1,Giardiasis [lambliasis],category,detailed_code,A07,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,false,true,false,true,,,,unreviewed,
A07.2,Cryptosporidiosis,category,detailed_code,A07,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,false,true,false,true,,,,unreviewed,
A07.3,Isosporiasis,category,detailed_code,A07,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,false,true,false,true,,,,unreviewed,
A07.8,Other specified protozoal intestinal diseases,category,detailed_code,A07,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,false,true,false,true,,,,unreviewed,
A07.9,"Protozoal intestinal disease, unspecified",category,detailed_code,A07,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,false,true,false,true,,,,unreviewed,
A08,Viral and other specified intestinal infections,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,true,false,true,false,,,,unreviewed,
A08.0,Rotaviral enteritis,category,detailed_code,A08,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,false,true,false,true,,,,unreviewed,
A08.1,Acute gastroenteropathy due to Norovirus,category,detailed_code,A08,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,false,true,false,true,,,,unreviewed,
A08.2,Adenoviral enteritis,category,detailed_code,A08,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,false,true,false,true,,,,unreviewed,
A08.3,Other viral enteritis,category,detailed_code,A08,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,false,true,false,true,,,,unreviewed,
A08.4,"Viral intestinal infection, unspecified",category,detailed_code,A08,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,false,true,false,true,,,,unreviewed,
A08.5,Other specified intestinal infections,category,detailed_code,A08,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,false,true,false,true,,,,unreviewed,
A09,Other gastroenteritis and colitis of infectious and unspecified origin,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,true,false,true,false,,,,unreviewed,
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,category,detailed_code,A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,false,true,false,true,,,,unreviewed,
A09.9,Gastroenteritis and colitis of unspecified origin,category,detailed_code,A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,false,true,false,true,,,,unreviewed,
A15-A19,Tuberculosis,block,block,I,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,,,true,false,false,false,,,,unreviewed,
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",category,three_character,A15-A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",true,false,true,false,,,,unreviewed,
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.1,"Tuberculosis of lung, confirmed by culture only",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.2,"Tuberculosis of lung, confirmed histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.3,"Tuberculosis of lung, confirmed by unspecified means",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",category,detailed_code,A15,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",false,true,false,true,,,,unreviewed,
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",category,three_character,A15-A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",true,false,true,false,,,,unreviewed,
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
