code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1A7Z,"Gonococcal infection, unspecified",01,yes,both,all,annex,icd10 A54 A54.6 A54.9,yes,yes,
1A80,Chlamydial lymphogranuloma,01,yes,both,all,annex,icd10 A55,no,yes,
1A81,Non-ulcerative sexually transmitted chlamydial infection,01,yes,both,all,annex,default,no,no,
1A81.0,Chlamydial infection of lower genitourinary tract,01,yes,both,all,annex,icd10 A56.0 A56.2,no,yes,
1A81.1,Chlamydial infection of internal reproductive organs,01,yes,both,all,annex,icd10 A56.1,no,yes,
1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site,01,yes,both,all,annex,icd10 A56.3 A56.4,yes,yes,
1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,01,yes,both,all,annex,icd10 A56 A56.8,yes,yes,
1A8Y,Other specified sexually transmissible infections due to chlamydia,01,yes,both,all,annex,default,yes,yes,
1A8Z,"Sexually transmissible infections due to chlamydia, unspecified",01,yes,both,all,annex,default,yes,yes,
1A90,Chancroid,01,yes,both,all,annex,icd10 A57,no,yes,
1A91,Granuloma inguinale,01,yes,both,all,annex,icd10 A58,no,yes,
1A92,Trichomoniasis,01,yes,both,all,annex,icd10 A59 A59.0 A59.8 A59.9,no,yes,
1A93,Sexually transmissible infestations,01,yes,both,all,annex,default,no,yes,
1A94,Anogenital herpes simplex infection,01,yes,both,all,annex,default,no,no,
1A94.0,Herpes simplex infection of genitalia or urogenital tract,01,yes,both,all,annex,icd10 A60.0,no,yes,
1A94.1,Herpes simplex infection of perianal skin or rectum,01,yes,both,all,annex,icd10 A60.1,no,yes,
1A94.Z,Anogenital herpes simplex infection without further specification,01,yes,both,all,annex,icd10 A60 A60.9,yes,yes,
1A95,Anogenital warts,01,yes,both,all,annex,default,no,no,
1A95.0,Anal warts,01,yes,both,all,annex,default,no,yes,
1A95.1,Genital warts,01,yes,both,all,annex,default,no,yes,
1A95.2,Extragenital condylomata acuminata,01,yes,both,all,annex,default,no,yes,
1A95.Z,"Anogenital warts, unspecified",01,yes,both,all,annex,icd10 A63.0,yes,yes,
1A9Y,Other specified predominantly sexually transmitted infections,01,yes,both,all,annex,default,yes,yes,
1A9Z,"Predominantly sexually transmitted infections, unspecified",01,yes,both,all,annex,icd10 A63 A63.8 A64,yes,yes,
1B10,Tuberculosis of the respiratory system,01,yes,both,all,annex,default,no,no,
1B10.0,"Respiratory tuberculosis, confirmed",01,yes,both,all,annex,icd10 A15 A15.0 A15.1 A15.2 A15.3 A15.4 A15.5 A15.6 A15.7 A15.8 A15.9,no,yes,
1B10.1,"Respiratory tuberculosis, not confirmed",01,yes,both,all,annex,icd10 A16 A16.0 A16.1,no,yes,
1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",01,yes,both,all,annex,icd10 A16.2 A16.3 A16.4 A16.5 A16.7 A16.8 A16.9,yes,yes,
1B11,Tuberculosis of the nervous system,01,yes,both,all,annex,default,no,no,
1B11.0,Tuberculous meningitis,01,yes,both,all,annex,icd10 A17.0,no,yes,
1B11.1,Tuberculous meningoencephalitis,01,yes,both,all,annex,default,no,yes,
1B11.2,Meningeal tuberculoma,01,yes,both,all,annex,icd10 A17.1,no,yes,
1B11.3,Tuberculous granuloma of brain,01,yes,both,all,annex,default,no,yes,
1B11.Y,Other tuberculosis of nervous system,01,yes,both,all,annex,default,yes,yes,
1B11.Z,"Tuberculosis of the nervous system, unspecified",01,yes,both,all,annex,icd10 A17 A17.8 A17.9,yes,yes,
1B12,Tuberculosis of other systems or organs,01,yes,both,all,annex,default,no,no,
1B12.0,Tuberculosis of heart,01,yes,both,all,annex,default,no,yes,
1B12.1,Tuberculosis of eye,01,yes,both,all,annex,icd10 A18.5,no,yes,
1B12.2,Tuberculosis of ear,01,yes,both,all,annex,icd10 A18.6,no,yes,
1B12.3,Tuberculosis of endocrine glands,01,yes,both,all,annex,default,no,yes,
1B12.4,Tuberculosis of the musculoskeletal system,01,yes,both,all,annex,default,no,no,
1B12.40,Tuberculosis of bones or joints,01,yes,both,all,annex,icd10 A18.0 M90.0,no,yes,
